Agency,Parent CN ID,CN ID,Publish Date,Amendment Date,Status,StartDate,EndDate,Value,Description,Agency Ref. ID,Category,Procurement Method,ATM ID,SON ID,Confidentiality - Contract,Confidentiality - Contract Reason(s),Confidentiality - Outputs,Confidentiality - Outputs Reason(s),Consultancy,Consultancy Reason(s),Amendment Reason,Supplier Name,Supplier Address,Supplier City,Supplier Postcode,Supplier Country,Supplier ABNExempt,Supplier ABN,Agency Branch,Agency Divison,Agency Postcode
Department of Climate Change and Energy Efficiency,CN414930,CN414930-A3,2011-07-28,2013-01-04,published,2011-06-27,2012-12-31,267470.04, Web Publisher ,STD-002393-1,Environmental management,Limited tender,,,No,,No,,No,,Update End Date,HAYS Specialist Recruitment (Australia) Pty Ltd,GPO Box 3868,SYDNEY,2001,AUSTRALIA,No,47001407281,Business Services,Corporate Support,2601
Australian Competition and Consumer Commission,CN761471,CN761471-A1,2012-07-25,2013-01-04,published,2012-07-01,2013-06-30,30000.00, Education and training services ,120400-F12156,Education and Training Services,Limited tender,,,No,,No,,No,,Additional services required,Editors Mark,140 South Road,Brighton East,3187,AUSTRALIA,No,99309526590,Finance and Services,Finance and Services,2601
Australian Competition and Consumer Commission,CN389576,CN389576-A1,2011-05-20,2013-01-04,published,2011-05-12,2013-04-30,30000.00, Management advisory services ,110369-F11208,Management advisory services,Limited tender,,,No,,No,,Yes,Need for independent research or assessment,Additional services required,EcoAssist Pty Ltd,70 Reynolds Road,TEMPLESTOWE,3106,AUSTRALIA,No,25007203116,Finance and Services,Finance and Services,2601
Australian Competition and Consumer Commission,CN948311,CN948311-A1,2012-10-05,2013-01-04,published,2012-10-02,2013-06-30,94000.00, Management advisory services ,130078-F13035,Management advisory services,Limited tender,,,No,,No,,Yes,Need for independent research or assessment,Additional services required,KPMG Australia,PO Box 2291U,MELBOURNE,3001,AUSTRALIA,No,51194660183,Finance and Services,Finance and Services,2601
Australian Competition and Consumer Commission,CN877531,CN877531-A1,2012-09-04,2013-01-04,published,2012-08-01,2013-06-30,31352.00, Written translation services ,130054-S13031,Written translation services,Limited tender,,,No,,No,,No,,Additional services required,Clarus Translation,"PO Box 848, Broadway",SYDNEY,2007,AUSTRALIA,No,65987024769,Finance and Services,Finance and Services,2601
Australian Competition and Consumer Commission,CN948271,CN948271-A1,2012-10-05,2013-01-04,published,2012-10-10,2012-10-12,20639.30, Hotels and lodging and meeting facilities ,130060-S13036,Hotels and lodging and meeting facilities,Limited tender,,,No,,No,,No,,Additional services required,Cliftons Operations Pty Ltd,GPO Box 5415,SYDNEY,2001,AUSTRALIA,No,39109332925,Finance and Services,Finance and Services,2601
Australian Competition and Consumer Commission,CN761281,CN761281-A2,2012-07-25,2013-01-04,published,2012-07-02,2012-12-21,90376.00, Information technology consultation services ,130016-I13007,Information technology consultation services,Limited tender,,,No,,No,,No,,Additional services required,Acumen Contracting and Recruitment Pty Ltd,GPO BOX 1880,CANBERRA,2601,AUSTRALIA,No,80077571843,Finance and Services,Finance and Services,2601
Department of the Treasury,,CN1122792,2013-01-04, ,published,2012-11-27,2013-02-28,79500.00,Specialised Consultant for the Clean Energy Finance Corporation,37000940,Education and Training Services,Limited tender,,,No,,No,,Yes,Skills currently unavailable within agency,,Banarra Pty Limited,768 Pacific Highway,Gordon,2072,Australia,No,37120135864,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122802,2013-01-04, ,published,2012-12-17,2013-02-28,89500.00,Specialised Consultant for the Clean Energy Finance Corporation,37000938,Education and Training Services,Limited tender,,,No,,No,,No,,,The Trustee for Pandac Trust,36 Akame Circuit,O'Malley,2606,Australia,No,73216937652,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122812,2013-01-04, ,published,2012-11-23,2013-06-30,26048.00,Econometric Support and Training Services,37000937,Education and Training Services,Limited tender,,,No,,No,,No,,,Dr Robert Breunig,42 Hicks Street,Red Hill,2603,Australia,No,43081287271,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122842,2013-01-04, ,published,2012-11-14,2012-12-31,46200.00,Develop consultation regulation impact assessment,37000924,Management advisory services,Limited tender,,,No,,No,,Yes,Need for specialised or professional skills,,Queensland University of Technology,PO Box 2434,Brisbane,4001,Australia,No,83791724622,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122852,2013-01-04, ,published,2012-11-14,2012-12-31,46200.00,Develop a consultation regulation impact assessment,37000923,Management advisory services,Limited tender,,,No,,No,,Yes,Need for specialised or professional skills,,University of Melbourne,"Accounts Receivable, Grattan St",University of Melbourne,3010,Australia,No,84002705224,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122902,2013-01-04, ,published,2012-12-03,2013-06-30,83600.00,File storage management and destruction costs associated with admin insurance programs,40000059,Containers and storage,Limited tender,,,No,,No,,No,,,Recall Information Management Pty L,PO Box 634,Virginia,4014,Australia,No,25004270991,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122922,2013-01-04, ,published,2012-11-21,2013-12-12,16000.00,Provide debt recovery and debtor management services for HLIC,37000541,Management advisory services,Limited tender,,,No,,No,,No,,,Dun & Bradstreet (Australia) P/L,PO Box 7083,Sydney,2001,Australia,No,72256863039,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122972,2013-01-04, ,published,2012-12-19,2012-12-30,16060.56,Stationery,19044343,Stationery,Limited tender,,,No,,No,,No,,,Complete Office Supplies Pty Ltd,50 Hoskins Street,Mitchell,2911,Australia,No,92001634715,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1122982,2013-01-04, ,published,2012-12-10,2013-06-30,21610.96,Cabcharge 816907/2012/12,19044331,Taxicab services,Limited tender,,,No,,No,,No,,,Cabcharge Australia Pty Ltd,PO Box 700,Paddington,2021,Australia,No,99001958390,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123002,2013-01-04, ,published,2012-11-22,2013-06-30,44250.00,Cert IV in Government - Project Management 15 Participants,19044157,Education and Training Services,Limited tender,,,No,,No,,No,,,CIT Solutions,PO Box 226,Jamison,2614,Australia,No,25008645823,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123012,2013-01-04, ,published,2012-04-04,2013-06-30,32184.16,Executive Development Programs,19044134,Education and Training Services,Limited tender,,,No,,No,,No,,,National Security College,"Building 69, 5 Liversidge Street",Acton,200,Australia,No,52234063906,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123032,2013-01-04, ,published,2012-10-15,2012-11-29,16327.41,Cabcharge 816907/2012-11,19044096,Taxicab services,Limited tender,,,No,,No,,No,,,Cabcharge Australia Pty Ltd,PO Box 700,Paddington,2021,Australia,No,99001958390,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123042,2013-01-04, ,published,2012-12-13,2013-05-30,36256.48,Avaya Ethernet Routing Switch,45044047,Components for information technology or broadcasting or telecommunications,Limited tender,,,No,,No,,No,,,Dimension Data Aust Pty Ltd,PO Box 4059,Sydney,2001,Australia,No,65003371239,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123052,2013-01-04, ,published,2012-12-05,2013-06-30,63980.00,ABAC Symposium 2013,45044026,Hotels and lodging and meeting facilities,Limited tender,,,No,,No,,No,,,Four Seasons Hotel Sydney,"PO Box N185, Grosvenor St",Grosvenor Place,1220,Australia,No,79121016000,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123062,2013-01-04, ,published,2012-11-29,2013-11-27,34646.32,IBISWorld online subscription 28.11.12-27.11.13,45044018,Electronic reference material,Limited tender,,,No,,No,,No,,,IBISWorld.com,"Lv 3 ,1 Collins St",Melbourne,3000,Australia,No,76006819987,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123082,2013-01-04, ,published,2012-11-28,2013-06-30,38693.00,FRLI Registrations 2012-2013,45044006,Legal services,Limited tender,,,No,,No,,No,,,Office of Parliamentary Counsel,PO Box LB 30,Kingston,2604,Australia,No,41425630817,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123092,2013-01-04, ,published,2012-11-28,2013-06-30,26983.00,FRLI Registrations 2012-2013,45044005,Legal services,Limited tender,,,No,,No,,No,,,Office of Parliamentary Counsel,PO Box LB 30,Kingston,2604,Australia,No,41425630817,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123102,2013-01-04, ,published,2012-11-23,2013-06-30,11031.00,8 Avaya 1-port 10BASE,45043995,Hardware,Limited tender,,,No,,No,,No,,,Dimension Data Aust Pty Ltd,PO Box 4059,Sydney,2001,Australia,No,65003371239,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123112,2013-01-04, ,published,2012-11-21,2013-06-30,34428.00,Gazettals,45043990,Printed publications,Limited tender,,,No,,No,,No,,,Office of Parliamentary Counsel,PO Box LB 30,Kingston,2604,Australia,No,41425630817,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123122,2013-01-04, ,published,2012-12-21,2013-06-30,222920.00,Data Networks and  Internet,45043550,Internet services,Limited tender,,,No,,No,,No,,,Optus Billing Services Pty Ltd,PO Box 4101,Sydney,2059,Australia,No,95088011536,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123162,2013-01-04, ,published,2012-12-19,2013-12-15,44001.00,Social media application user licence agreement,37000976,Software maintenance and support,Limited tender,,,No,,No,,No,,,CSIRO,PO Box 225,Dickson,2602,Australia,No,41687119230,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123182,2013-01-04, ,published,2012-12-13,2013-01-18,32484.00,"Consultancy services for development, operation and maintenance of Macroeconomic Models",37000969,Management advisory services,Limited tender,,SON475757,No,,No,,Yes,Need for specialised or professional skills,,Econtech,PO Box 4129,Kingston,2604,Australia,No,35243850072,Accounting & Financial Management Unit,Corporate Services Division,2600
Department of the Treasury,,CN1123202,2013-01-04, ,published,2012-12-10,2013-02-28,79500.00,Specialised Consultant for the Clean Energy Finance Corporation,37000958,Management advisory services,Limited tender,,,No,,No,,Yes,Need for specialised or professional skills,,Sheridan Ann McLaughlin,83 Mort St,Balmain,2041,Australia,Yes,,Accounting & Financial Management Unit,Corporate Services Division,2600
Defence Materiel Organisation,,CN1123292,2013-01-04, ,published,2012-12-03,2013-02-11,50832.82, Repair Of Pumps ,GA0PVL,Industrial pumps and compressors,Limited tender,,,No,,No,,No,,,WEIR MINERALS AUSTRALIA,,BERESFIELD,2322,AUSTRALIA,No,45000373339,,,2600
Old Parliament House,CN1105252,CN1105252-A1,2012-12-21,2013-01-04,published,2012-12-21,2013-02-28,47097.60, Painting and Timber refinishing for Members Dining Rooms ,OPH12/13-051,Painting and paper hanging,Limited tender,,,No,,No,,No,,Amend contract value due to increased work.,Programmed Maintenance Services Limited trading as Programmed Property Services,,Fyshwick,2609,AUSTRALIA,No,61054742264,,,2600
Defence Materiel Organisation,,CN1123322,2013-01-04, ,published,2012-12-03,2013-02-11,33591.97, Repair Of Valves ,GA0O2X,Marine craft systems and subassemblies,Limited tender,,,No,,No,,No,,,BALE DEFENCE INDUSTRIES PTY LTD,,PORT MACQUARIE,2444,AUSTRALIA,No,82099014534,,,2600
AusAid,,CN1123392,2013-01-04, ,published,2012-10-01,2013-01-30,69204.30,Rural and Remote Education Specialist - Education Assistance to Papua and West Papua Program (Indonesia),48961/207,Education and Training Services,Limited tender,,SON174873,No,,No,,No,,,M.D.I. INTERNATIONAL PTY LTD,,ROCKLEA,4106,AUSTRALIA,No,95010477504,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123412,2013-01-04, ,published,2012-10-25,2012-12-21,111393.70,Team member - Contribution to the Mid-Term review for the Australian Community Rehabilitation Program (Sri Lanka),53570/7,Civic organisations and associations and movements,Limited tender,,SON266584,No,,No,,No,,,IDSS PTY LTD,32 LINCOLN SQUARE,CARLTON,3053,AUSTRALIA,No,31006533348,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123442,2013-01-04, ,published,2012-08-09,2012-12-09,39600.00,Placement of Procurement Specialist - Junior Secondary School (Samoa),39484/336,Education and Training Services,Limited tender,,SON38402,No,,No,,No,,,AUSTRALIAN VOLUNTEERS INTERNATIONAL,71 ARGYLE STREET (PO BOX 350),FITZROY,3065,AUSTRALIA,No,88004613067,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123452,2013-01-04, ,published,2012-08-08,2015-06-30,411200.00,Support to the Project Management Unit for the Vietnam Delta Study,63222,Environmental management,Limited tender,,,No,,No,,No,,,ICEM VIETNAM COMPANY LTD.,Lane 49 To Ngoc Van Street,Outside Australia,,VIET NAM,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123472,2013-01-04, ,published,2012-08-27,2013-06-30,27500.00,Procurement Advice and Support,62978,Humanitarian aid and relief,Limited tender,,,No,,No,,No,,,DEVELOPMENT FITNESS,Goldner Circuit,Canberra,2615,AUSTRALIA,No,69489188257,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123482,2013-01-04, ,published,2012-08-22,2013-06-30,27500.00,Procurement Advice and Support,62977,Humanitarian aid and relief,Limited tender,,,No,,No,,No,,,YIKIDO PTY LTD,"Crozier Circuit, Kambah, ACT",Canberra,2902,AUSTRALIA,No,80151639404,Operations Support Branch,Corporate Governance and Review,2601
Defence Materiel Organisation,,CN1123492,2013-01-04, ,published,2012-12-03,2013-02-01,14635.04, Provision Of Valves ,DNLLC2,Marine craft systems and subassemblies,Limited tender,,,No,,No,,No,,,PARKER HANNIFIN AUST PTY LTD,,CASTLE HILL,2154,AUSTRALIA,No,89008446893,,,2600
Defence Materiel Organisation,,CN1123502,2013-01-04, ,published,2012-12-07,2012-12-21,97075.00, Scale Removing Compound ,JW1J6Y,Compounds and mixtures,Limited tender,,,No,,No,,No,,,ENVIRONMENTAL FLUID SYSTEMS,,WARRNAMBOOL,3280,AUSTRALIA,No,77288189649,,,2600
AusAid,,CN1123522,2013-01-04, ,published,2012-10-22,2013-06-30,62065.85,Team member - Contribution to the quality assurance processes for the Education design (Tonga),48961/216,Education and Training Services,Limited tender,,SON174873,No,,No,,No,,,M.D.I. INTERNATIONAL PTY LTD,,ROCKLEA,4106,AUSTRALIA,No,95010477504,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123532,2013-01-04, ,published,2012-10-22,2013-06-30,224059.00,Program and Gender Specialist - contribtuion to the Strategic Advisory Committee for Empowering Indonesian Women for Poverty Reduction,64736,Management advisory services,Limited tender,,,No,,No,,No,,,"BROWN, GILLIAN","2 Belmont # 01-02, Belmont Rd,",Outside Australia,,SINGAPORE,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123542,2013-01-04, ,published,2012-11-01,2013-10-31,80000.00,"Social Development Specialist -  Central Mekong Delta Connectivity Project, Cao Lanh Bridge (Vietnam)",64720,Transport operations,Limited tender,,,No,,No,,No,,,DANIEL R GIBSON,1702 Dutch Creek Road,Outside Australia,,UNITED STATES,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123552,2013-01-04, ,published,2012-09-30,2013-08-30,258189.20,Team Leader - Provincial Road Management Facility (Philippines),64701,Management advisory services,Limited tender,,,No,,No,,No,,,CHARLES TREMAYNE ANDREWS,19th Floor Salcedo Towers,Outside Australia,,PHILIPPINES,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123562,2013-01-04, ,published,2012-09-20,2012-11-20,13463.67,International english language testing for scholarship candidates (Solomon Islands),64676,Education and Training Services,Limited tender,,,No,,No,,No,,,UNIVERSITY OF AUCKLAND ENGLISH LANGUAGE ACADEMY,"Level 5, 67 Symonds Street",Outside Australia,,NEW ZEALAND,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123582,2013-01-04, ,published,2012-11-22,2013-03-24,30075.00,Team member - Contribution to the Mid-term Review of Strenthened Disaster Coordination and Response Preparedness program (Indonesia),64664,Humanitarian aid and relief,Limited tender,,,No,,No,,No,,,"HODGKIN, DAVID",C/- 29 Carlile St,Evatt,2617,AUSTRALIA,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123592,2013-01-04, ,published,2012-11-12,2013-03-31,84892.94,Monitoring and Evaluation Specialist - contribution to the design of the Pacific Technical Assistance Mechanism Phase II,64617,Management advisory services,Limited tender,,,No,,No,,No,,,CLEAR HORIZON CONSULTING PTY. LTD. T/A CLEAR HORIZON,1/12 AVONDALE AVENUE,CHELSEA,3196,AUSTRALIA,No,37115522051,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123602,2013-01-04, ,published,2012-09-24,2013-01-31,67406.46,International Electoral Specialist - contribution to the review of electoral support (Papua New Guinea),64597,Management advisory services,Limited tender,,,No,,No,,No,,,HORACIO BONEO,Av. Quintana 26-6/14,Outside Australia,,ARGENTINA,Yes,,Operations Support Branch,Corporate Governance and Review,2601
AusAid,,CN1123612,2013-01-04, ,published,2012-10-31,2012-12-18,35157.10,Review of the delivery of Australian Development Scholarships,64577,Education and Training Services,Limited tender,,,No,,No,,No,,,OUROBORUS INTERNATIONAL DEVELOPMENT,26 McCormack Street,CURTIN,2605,AUSTRALIA,No,36221997043,Operations Support Branch,Corporate Governance and Review,2601
