Description,ECCN1,ECCN2,ECCN3,ECCN4,ECCN5
Agitators (chemical manufacturing),2B350b,,,,
"AHRS (Attitude Heading Reference Systems), source code",7D002,,,,
Air traffic control software,6D003h1,,,,
Air independent power systems (for underwater use),8A002j,,,,
Air compressors and filtration systems designed for filling air cylinders,8A992l,,,,
Air Traffic Control software application programs,6D993,,,,
Airtight vaults,0A981,,,,
Airborne altimeters,7A006,9A610v,,,
Airborne altimeters,7A106,9A610v,,,
Airborne communication equipment,7A994,,,,
Airborne radar equipment,6A998,,,,
Air-cooled diesel engines and engine blocks for armored vehicles,0A606,,,,
Aircraft,9A610,,,,
"Aircraft, civil",9A991b,,,,
"Aircraft, demilitarized",9A991a,9A610,,,
"Aircraft, n.e.s.",9A991,9A610,,,
"Aircraft, trainer",9A610a,,,,
Aircraft breathing equipment and parts,9A991e,9A610g,,,
Aircraft (military) pressurized breathing equipment,9A610g,,,,
Aircraft inertial navigation systems & equipment,7A103a,,,,
Aircraft inertial navigation systems & equipment,7A003,,,,
Aircraft parts and components,9A991d,9A610x,,,
Aircraft wing folding system software,0D521 No 3,,,,
Aircraft wing folding system technology,0E521 No 2,,,,
Alexandrite lasers,6A005c2b,,,,
Align & expose step & repeat equipment (wafer processing),3B001f1,,,,
Alignment equipment for equipment controlled by 7A,7B001,,,,
"Alkylphenylene ethers or thio-ethers, as lubricating fluids",1C006b1,,,,
"Alloy strips, magnetic",1C003c,,,,
Alloyed materials production systems and components,1B002,,,,
Alloyed metal materials in powder or particulate form,1C002b,,,,
"Alloyed metal materials in the form of uncomminuted flakes, ribbons, or thin rods",1C002c,,,,
"Alloys, aluminum",1C202a,,,,
"Alloys, aluminum",1C002a2d,,,,
"Alloys, magnesium",1C002a2e,,,,
"Alloys, metal powder or particulate form",1C002b,,,,
"Alloys, nickel",1C002a2a,,,,
"Alloys, niobium",1C002a2b,,,,
"Alloys, titanium",1C202b,,,,
"Alpha-emitting radionuclides, compounds, mixtures, products or devices",1C236,,,,
Alternators for ground vehicles,0A606y2,,,,
"Altimeters, airborne",7A006,9A610v,,,
"Altimeters, radar or laser types",7A106,9A610v,,,
Alumina fibers,1C010c Note 1,,,,
Aluminides,1C002a1,,,,
"Aluminides, nickel",1C002a1a,,,,
"Aluminides, titanium",1C002a1b,,,,
Aluminum alloys,1C002a2d,,,,
Aluminum alloy/powder or particulate form,1C002b1d,,,,
Aluminum alloys as tubes/solid forms/forgings,1C202a,,,,
Aluminum electroplating equipment,2B999i,,,,
"Aluminum gallium nitride (AlGaN) “substrates”, ingots, boules, or other preforms of those materials",3C005,,,,
"Aluminum nitride (AlN) “substrates”, ingots, boules, or other preforms of those materials",3C005,,,,
Aluminum organo-metallic compounds,3C003,,,,
"Aluminum powder, spherical or spheroidal",1C111a1,,,,
Aluminum powder (spherical) production equipment,1B102,,,,
"Amalgam electrolysis cells, lithium isotope separation",1B233b3,,,,
"Amalgam pumps, lithium and/or mercury",1B233b2,,,,
"Ammonia, aqueous",1C980,,,,
Ammonium bifluoride,see ammonium hydrogen fluoride,1C350d1,,,
Ammonium hydrogen fluoride,1C350d1,,,,
"Ammonium nitrate, including certain fertilizers containing ammonium nitrate",1C997,,,,
Ammunition hand-loading equipment,0B986,,,,
Amorphous alloy strips,1C003,,,,
"Amplifiers, microwave solid state",3A001b4,,,,
"Amplifiers, pulse",3A999d,,,,
Analog computers,4A101,,,,
Analog-to-digital converters,3A101a,,,,
"Analog-to-digital converters, integrated circuits",3A001a5,,,,
Analog-to-digital conversion equipment,4A003e,,,,
"Analyzers, network",3A002e,,,,
"Analyzers, spectrum",3A002c1,,,,
Andean potato latent virus (Potato Andean latent tymovirus),1C354c1,,,,
Andes virus,1C351a1,,,,
Angular displacement measuring instruments,2B206c,,,,
Angular measuring instruments,2B006b2,,,,
Angular measuring instruments,2B206,,,,
Angular-linear inspection equipment (hemishells),2B206,,,,
Angular-linear inspection equipment (hemishells),2B006c,,,,
Angular rate sensors,7A002,,,,
Animal pathogens,1C352,,,,
Annealing or recrystallizing equipment,3B991b1c1,,,,
"Antennae, phased array",5A001d,,,,
"Antennae, phased array (for radar)",6A008e,,,,
Anti-friction bearings and bearing systems,2A001,,,,
"Anti-vibration mounts (noise reduction), civil vessels",8A002o3a,,,,
Antimony hydrides,3C004,,,,
Application Specific Integrated Circuits (ASICs),3A611f,3A611y14,,,
Aramid fibers & filamentary materials,1C210a,,,,
Aramid fibers & filamentary materials,1C010a,,,,
Arc remelt & casting furnaces,2B227a,,,,
Argon ion lasers,6A205a,,,,
Argon ion lasers,6A005a,,,,
Armor body (hard),1A005b,,,,
Armor body (soft),1A005a,,,,
Armor plate (for hard body armor),1A613,1A005b,,,
Armor plate drilling machines,2B018a,,,,
Armor plate planing machines,2B018b,,,,
Armor plate quenching presses,2B018c,,,,
Armor (for vehicles),0A606b2b,,,,
"Arms machinery, equipment, gear, parts, and accessories",2B018,,,,
Arms (small) chambering machines,2B018o,,,,
Arms (small) deep hole drilling machines and drills therefor,2B018p,,,,
Arms (small) rifling machines,2B018q,,,,
Arms (small) spill boring machines,2B018r,,,,
Aromatic polyimides,1C008a3,,,,
Aromatic polyamide-imide,1C008a2,,,,
Aromatic polyetherimides,1C008a4,,,,
Array processor microcircuits,3A001a3 Note,,,,
Array processors/assemblies,4A004,,,,
Array processors/assemblies,4A003,,,,
"Arrays of aerosol generating units or spray booms, specially designed for fitting to aircraft, “lighter than air vehicles,” or “UAVs”",2B352h2,,,,
Arsenic trichloride,1C350b1,,,,
Arsenic hydrides,3C004,,,,
Asphalt paving mixtures,1C980,,,,
ASICs (Application Specific Integrated Circuits),3A611f,3A611y14,,,
Aspheric optical elements,6A004e,,,,
Assemblies to enhance performance by aggregation of computing elements,4A994c,,,,
Asynchronous transfer mode (ATM) equipment,5A991c10d,,,,
"Asynchronous transfer mode (ATM), technology for the development of equipment employing",5E001c1,,,,
Atomic frequency standards,3A002g,,,,
Atomic transition solid state lasers,6A005a,6A005b,,,
"Attitude Heading Reference Systems (AHRS), source code software",7D002,,,,
Attitude control equipment for missiles,7A116,,,,
Audio selector panels (military aircraft),9A610y3,,,,
Audio selector panels (submersible vessels),8A620y11,,,,
Audio selector panels (surface vessels of war),8A609y11,,,,
Aujeszky’ disease virus (Porcine herpes virus),1C352a6,,,,
"Austenitic stainless steel plate, valves, piping, tanks and vessels",2B999n,,,,
"Autoclave temperature, pressure or atmosphere regulation technology",1.00E+103,,,,
"Automated control systems, submersible vehicles",8A002b,,,,
Automatic drug injection systems,0A981,,,,
"Automotive, diesel, and marine engine lubricating oil",1C980,,,,
Avian influenza virus,1C352a2,,,,
Aviation engine lubricating oil,1C980,,,,
"Avionic equipment, parts, and components",7A994,,,,
"Avionic systems, equipment, parts … for military not on USML",7A611,3A611,,,
Avionics EMP/EMI protection technology,7.00E+102,,,,
Axles for ground vehicles,0A606y3,,,,
Bacillus anthracis,1C351c1,,,,
"Backshells, electric connector",3A611y9,,,,
Bacteria,1C351c,,,,
Bacteria,1C354a,,,,
Bacteria,1C352b,,,,
Balancing machines,2B119a,,,,
Balancing machines,7A104a,,,,
Balancing instrumentation,7A104b,,,,
"Balancing machines, centrifugal multiplane",2B229,,,,
"Balancing machines, centrifugal multiplane",2B999m,,,,
"Ball bearings, precision hardened steel and tungsten carbide",1C999a,,,,
"Ball bearings, Radial",2A101,,,,
Ball & solid roller bearings,2A001a,,,,
"Band-pass filters, tunable",3A001b5,,,,
Barium metal vapor lasers,6A005b,,,,
Batch mixers,1B117,,,,
Bathymetric survey systems or transmitting and receiving arrays,6A001a1b,,,,
"Batons, shock",0A985,,,,
"Batons, spiked",0A983,,,,
Batteries (ground vehicles),0A606y4,,,,
Batteries (lead-acid and nickel-cadmium) for military aircraft,9A610y24,,,,
"Batteries, thermal",9A604,,,,
Bay cable systems,6A001a2e,,,,
Bay cable systems software,6D003a3,,,,
Bayonets,0A918b,,,,
Beacons (underwater),9A610y20,,,,
"Beam lead bonders, stored program controlled equipment",3B991b3b,,,,
Beam steering mirrors,6A004a4,,,,
Beamforming techniques,6A001a2c,,,,
Bearing pullers for gas turbine engines,9B619y,,,,
Bearings (anti-friction) and bearing systems,2A001,,,,
"Bearings (e.g., ball, roller, wheel) – for ground vehicles",0A606y5,,,,
"Bearings, ball & solid roller",2A001a,,,,
"Bearings, (e.g., ball, roller, wheel) for ground vehicles",0A606y5,,,,
"Bearings, high precision/temperature/special",2A001,,,,
"Bearings, magnetic (active)",2A001c,,,,
"Bearings, precision hardened steel and tungsten carbide",1C999a,,,,
Bellows forming dies,2B999b,,,,
Bellows manufacturing equipment,2B999b,,,,
Bellows seal valves,2A226,,,,
Bellows seal valves,2B350g,,,,
"Bellows sealed valves, n.e.s.",2A999,,,,
Bellows-forming mandrels,2B228c,,,,
Bellows-forming dies,2B228c,,,,
Bellows-sealed scroll-type compressors,2B233,,,,
Bellows-sealed scroll-type vacuum pumps,2B233,,,,
Benzilic acid,1C350b2,,,,
"Beryllium metal, alloys, compounds, or manufactures",1C230,,,,
Beryllium metal particulate,1C111a2a4,,,,
Beryllium/beryllium substrate blanks,6C004d,,,,
"Biological containment facilities, ACDP level 3 or 4",2B352a,,,,
Biological isolators,2B352g2,,,,
Biological manufacturing equipment & facilities,2B352,,,,
Biological safety cabinets,2B352g2,,,,
Bismaleimides,1C008a1,,,,
Bismuth,1C229,,,,
"Bladders for aircraft/aerospace, fuel",1A001a,9A991d,9A610x,,
"Bladders for aircraft/aerospace/missiles, fuel",1A001c,9A610x,,,
"Blanks, beryllium/beryllium (Be/Be) deposited material",6C004d,,,,
"Blanks, Zinc selenide (ZnSe) substrate",6C004a,,,,
"Blanks, Zinc sulphide (ZnS) substrate",6C004a,,,,
Bluetongue virus,1C352a3,,,,
Boats,8A992f,,,,
Body armor (hard and soft),1A005,,,,
"Boilers, Marine",8A918,,,,
"Bombs, smoke",1A984,,,,
Bonding equipment,3B991b3b,,,,
"Boring equipment, large",2B999h1,,,,
Boring machines (CNC),2B001,,,,
Boring machines (CNC),2B201,,,,
Boron,C011b,,,,
Boron alloys particulate,1C011b,,,,
Boron & boron compounds,1C225,,,,
Boron fibers,1C010c Note 3,,,,
Bottom cable systems,6A001a2e,,,,
Bottom cable systems software,6D003a3,,,,
Botulinum toxin,1C351d3,,,,
Boules of electro-optic materials,6C004b,,,,
"Brake discs, rotors, drums, calipers, cylinders, pads, shoes for ground vehicles",0A606y1,,,,
Brake pads (steel) for military aircraft,9A610y19,,,,
"Brayton cycle engine, air independent",8A002j1,,,,
"Breathing equipment and parts, pressurized aircraft",9A991e,9A610g,,,
Bridge (self-launching) components for deployment by ground vehicles,0A606f,,,,
"Bridges & gateways, telecommunication",5A991b4a,,,,
"Bridges & gateways, telecommunication",5A991c9,,,,
Brucella abortus,1C351c2,,,,
Brucella melitensis,1C351c3,,,,
Brucella suis,1C351c4,,,,
"BTAT (Bis(2,2,2-trinitroethyl)-3,6-diaminotetrazine)",Annex to Category 1 List of Explosives 47a,,,,
Buckshot shotgun shells,0A984,,,,
Bulk acoustic wave devices,3A001c2,,,,
"Bulk fluoride glass, low optic absorption",6C004e2,,,,
Bulletproof and bullet resistant vests,1A005,,,,
Burkholderia mallei (Pseudomonas mallei),1C351c5,,,,
Burkholderia pseudomallei (Pseudomonas pseudomallei),1C351c6,,,,
Butacene,1C111c1,,,,
"Cables, cable assembles, and connectors – for",0A606y6,,,,
Cable systems for communications to detect surreptitious intrusion,5A002a8,,,,
"Cables, Optical fiber",5A001c,,,,
Cables with surreptitious intrusion detection,5A002a7,,,,
CAD (Computer-aided-design) software for semiconductors,3D003,,,,
Cadmium telluride (CdTe) single crystals/epitaxial wafers,6C002b,,,,
Cadmium zinc telluride (CdZnTe) single crystals & epitaxial wafers,6C002b,,,,
Calcium,1C227,,,,
Calcium fluoride (CaF2) made/coated crucibles,2A225a1,,,,
Calcium zirconate (metazirconate) (Ca2ZrO3) crucibles,2A225a2,,,,
"Calibration, test or alignment equipment for equipment controlled by 7A",7B001,,,,
"Camera equipment, underwater , n.e.s.",8A992d,,,,
"Camera, designed or modified for remote operation with submersible vehicle",8A992a1,,,,
"Cameras, electronic framing type",6A003a4,,,,
"Cameras, electronic framing type",6A203b2,,,,
"Cameras, electronic streak type",6A003a3,,,,
"Cameras, electronic streak type",6A203b1,,,,
"Cameras, framing",6A003a,,,,
"Cameras, framing",6A203,,,,
"Cameras, imaging",6A003b,,,,
"Cameras, mechanical",6A203a1,,,,
"Cameras, mechanical",6A003a,,,,
"Cameras, photo-optical step and repeat",3B991b2d1,,,,
"Cameras, radiation hardened TV",6A203d,,,,
"Cameras, scanning & scanning camera systems",6A003b2,,,,
"Cameras (still), underwater photographic",8A002e,,,,
"Cameras (still), for underwater use",8A992b,,,,
"Cameras, video using solid state sensors",6A003b1,,,,
Cameras and components,6A003,,,,
Cameras and components not controlled by 6A003,6A203,,,,
"Cameras and imaging devices (high-speed) and “components” therefore, “software” “specially designed” to enhance or release the performance characteristics of devices to meet or exceed the performance characteristics described in ECCN 6A203",6D201,,,,
Cameras not controlled by 6A003 or 6A203,6A993,,,,
"Canopies, complete",9A992,9A610h,,,
"Caps, mechanical",3A611y29,,,,
Capacitors,3A001e2,,,,
Capacitors,3A201a,,,,
"Capacitors, high voltage",3A999c,,,,
"Capacitors, mica paper",3A611y5,,,,
Carbon dioxide and monoxide,1C980,,,,
Carbon dioxide detector for military aircraft,9A610y27,,,,
Carbon dioxide (CO2) lasers,6A005d3,,,,
Carbon fiber & filamentary materials,1C010b,,,,
Carbon fiber & filamentary materials,1C210a,,,,
Carbon fiber preforms,1C010e,,,,
Carbon fibrous or filamentary materials,1A002b1,,,,
Carbon monoxide (CO) lasers,6A005d2,,,,
Carbon or alumina fiber conversion equipment,1B001d4,,,,
"Carbon-carbon components, resaturated pyrolized",1A102,,,,
"Carbon-carbon materials, resaturated pyrolized",1C102,,,,
Carbonyl dichloride (75-44-5) (Phosgene),1C355b1a,,,,
Carboxy-terminated polybutadiene (CTPB),1C111b1,,,,
Casks for transport of radioactive material,2A291c,,,,
Casting and remelt arc furnaces,2B227a,,,,
"Catalysts, platinized",1A225,,,,
Cathodes (Impregnated) for electronic tubes,3A001b1c,,,,
Cathodes,3A001b1,,,,
Cathodic arc deposition production equipment,2B005f,,,,
"Cedar, Western red",1C988,,,,
"Cells, primary & secondary",3A001e1,3A991j,,,
Cellular radio equipment/system software,5D991,,,,
Centralized network control,5A991e,,,,
Centralized network control development/production technology,5E991,,,,
Centrifugal decanters,2B352c,,,,
Centrifugal fixtures for gyro bearings,7B003,7B101,,,
Centrifugal multiplane balancing machines,2B999m,,,,
Centrifugal multiplane balancing machines for flexible rotors,2B229a,,,,
Centrifugal separators,2B352c,,,,
Centrifuge rotor balancing equipment,2B229,,,,
Centrifuge rotor assembly equipment,2B228a,,,,
Centrifuges capable of imparting accelerations above 100 g,2B122,,,,
Ceramic based materials,1C007,,,,
"Ceramic base materials, of single or complex borides of titanium",1C007a,,,,
"Ceramic composite materials, useable for radomes or nose tips",1C107b,,,,
Ceramic cores for blades & vanes,9B001b,9B619a,,,
Ceramic core manufacturing equipment,9B991d,9B619a,,,
Ceramic fibers,1C010c Note 4,,,,
Ceramic non-composite materials,1C007b,,,,
Ceramic shells for blades & vanes,9B001b,9B619a,,,
Ceramic shell wax pattern preparation equipment,9B991e,9B619a,,,
Ceramic-ceramic composite materials,1C007f,,,,
Ceramic-ceramic-matrix composite materials,1C007d,,,,
Ceramic-matrix composite materials,1C007c,,,,
Cerium sulphide (Ce2S3) made/coated crucibles,2A225a3,,,,
Certification software for information security software,5D002c2,,,,
"Chambers, aerosol challenge testing (capacity of 1 m3 or more)",2B352h,,,,
"Changers, frequency",3A999a,,,,
"Changers, frequency (converters or inverters)",3A225,,,,
Chapare virus,1C351a2,,,,
"Charges, containing military explosives for civil applications",1C608,,,,
"Charges, non-irritant smoke",1A984,,,,
"Charges, shaped for oil well operations",1C992a,,,,
Chemical agents,1A984,,,,
Chemical disposal technology,1E351,,,,
Chemical incinerators,2B350j,,,,
Chemical production process control software,1D390,,,,
Chemical production facility technology,1E350,,,,
Chemical warfare (CW) precursors,1C350,,,,
Chemical lasers,6A005d5,,,,
Chemical manufacturing equipment,2B350,,,,
Chemical manufacturing facilities,2B350,,,,
Chemical (precursor) mixtures and test kits,1C395,,,,
"Chemical (precursor) mixtures, used in the production of chemical warfare agents",1C995,,,,
Chemical storage tanks & containers,2B350c,,,,
Chemical Vapor deposition (CVD) equipment,3B991b1i,,,,
"Chemical vapor deposition (CVD) equipment, epitaxial growth",3B001,,,,
"Chemical vapor deposition (CVD) equipment, production (fiber)",1B001d2,,,,
"Chemical vapor deposition (CVD) equipment, production",2B005a,,,,
"Chemicals, CWC Schedule 2 and 3",1C355,,,,
"Chemicals, precursors for toxic chemical agents",1C350,,,,
Chikungunya virus (Human pathogen),1C351a3,,,,
"Chip carrier bonders, stored program controlled equipment",3B991b3b,,,,
Chlamydophila psittaci (formerly known as Chlamydia psittaci),1C351c7,,,,
Chlorine trifluoride (ClF3),1C238,,,,
2-Chloroethanol,1C350d2,,,,
"Chlorofluorocarbon, as hydraulic fluids",1C006a2,,,,
Chloropicrin (trichloronitromethane)(76-06-2),1C355b3,,,,
Choclo virus,1C351a4,,,,
Cholera toxin,1C351d4,,,,
Chromatography analytical instruments,3A999f,,,,
Chronometry equipment,3A999e2,,,,
Cinema recording cameras,6A003a1,,,,
Circuit breakers,3A611y17,,,,
"Clamps (V-Band, cushion, broomstick, hinged, and loop) for gas turbine engines",9A619y5,,,,
Clean room filters,3B991b4,,,,
Clicker dies,1B101d,,,,
"Clostridium argentinense (formerly known as Clostridium botulinum Type G), botulinum neurotoxin producing strains",1C351c8,,,,
botulinum neurotoxin producing strains,1C351c8,,,,
"Clostridium baratii, botulinum neurotoxin producing strains",1C351c9,,,,
Clostridium botulinum,1C351c10,,,,
"Clostridium butyricum, botulinum neurotoxin producing strain",1C351c11,,,,
"Clostridium perfringens, epsilon toxin producing types",1C351c12,,,,
"Clostridium perfringens alpha, beta 1, beta 2, epsilon and iota toxins",1C351d5,,,,
"Clothing & materials, bullet-resistant",1A005,,,,
CNTD (Controlled nucleation thermal decomposition) equipment,2B005a1b,,,,
"Coating application & processing technology, optic fibers",5E991a1,,,,
"Coating application technology, for non-electronic substrates",2E003f,,,,
"Coating application & processing technology, optic fibers",5E001b3,,,,
Coating equipment for prepregs/preform production,1B101d,,,,
"Coating & processing equipment, for non-electronic substrates",2B005,,,,
Coatings for reduced electromagnetic visibility or signature suppression,1C101,0C617a,,,
Coccidioides immitis,1C351e1,,,,
Coccidioides posadasii,1C351e2,,,,
Cochliobolus miyabeanus (Helminthosporium oryzae),1C354b2,,,,
Cold-cathode tubes,3A228a,,,,
Colletotrichum coffeanum var. virulans (Colletotrichum kahawae),1C354b1,,,,
Colletotrichum kahawae (Colletotrichum coffeanum var. virulans),1C354b1,,,,
Color center lasers,6A005c1,6A005c2,6S005c3,,
"Column, absorption or distillation",2B350e,,,,
"Column, liquid-liquid exchange, for lithium amalgams",1B233b1,,,,
Combined cycle engines/components,9A011,9A619,,,
"Combustion regulation devices, missile engines",9A118,,,,
Common channel signaling equipment/systems,5A991c8,,,,
"Common channel signaling, technology for the development of equipment employing",5D001c5,,,,
Communication channel controllers,5A991b4b,,,,
"Communication equipment, airborne",7A994,,,,
"Communication (mobile) equipment, assemblies and components",5A991g,,,,
"Communications interception devices, parts and accessories",5A980,5D980,5E980,,
"Communications cable systems, secure",5A002a7,,,,
Communications Systems (underwater),5A001b1,,,,
Compasses,9A610y13,,,,
Compasses (gyro-astro) & other position or orientation deriving devices,7A004,,,,
"Compasses (gyro-astro) & devices, other than those of 7A004",7A104,,,,
Components made from Fluorinated compounds,1A001,,,,
Components/structures for spacecraft,9A010,,,,
"Composite conductors, superconductive",1C005,,,,
Composite or laminate development software,1D002,,,,
"Composite structures, as tubes",1A202,,,,
Composite structures or laminates,1A002,,,,
"Composite (structural) production equipment, n.e.s.",1B999e,,,,
"Composite (structural) production equipment controlled by 1B999, software for",1D999,,,,
"Composite materials, ceramic-ceramic",1C007f,,,,
Composites production equipment,1B001,,,,
Composite structures for propulsion systems or space vehicles,9A110,9A619x,,,
Composite structures for unmanned aerial vehicles,9A610t,,,,
Composites (structural) production equipment,1B101,,,,
Compound rotary tables for machine tools,2B008c,,,,
Compound semiconductor integrated circuits,3A001a11,,,,
Compound semiconductor photocathodes,6A002a2c3,,,,
Compressors,9A619x,,,,
"Compressors, bellows-sealed scroll-type",2B233,,,,
"Compressors, turboexpande",1B232,,,,
"Compressors, turbo/centrifugal/axial flow",9A619x,,,,
"Computer, electronic assemblies & equipment & components",4A001,4A003,4A004,4A994,
"Computer, electronic components",4A101,,,,
"Computer, electronic components",4A102,,,,
"Computers, parts, components, accessories… for military applications, not on USML",3A611,,,,
Computer aided design (CAD) equipment for semiconductor devices or integrated circuits,3B991b2c,,,,
Integrated circuits,3B991b2c,,,,
Computer-aided-design (CAD) software for IC's & semiconductors,3D003,,,,
Computer interconnect equipment,4A003g,,,,
"Computer/assemblies/components, neural",4A004b,,,,
"Computer/assemblies/components, optical",4A004c,,,,
"Computers, electronic assemblies, and related equipment and components not controlled by 4A001 or 4A003",4A994,,,,
"Computers, analog & analog ruggedized",4A101,,,,
Computers for fingerprint equipment,4A980,,,,
"Computers, digital ruggedized",4A101,,,,
"Computers/assemblies/components, systolic array",4A004a,,,,
"Computers, analog",4A001,,,,
"Computers, digital",4A003,,,,
"Computers, digital",4A004,,,,
"Computers, digital",4A001,,,,
"Computers, hybrid",4A102,,,,
"Computers, parts, components … for military application not on USML",4A611,3A611,,,
"Computers and electronic assemblies (hybrid), and specially designed components therefor",4A994k,,,,
"Computers, with extended operating temperature range",4A001a1,,,,
"Computers, radiation hardened",4A001a2,,,,
"Concealment and deception equipment (military), i.e. special paints, decoys, smoke or obscuration equipment and simulator",0A617,,,,
Concealed object detection equipment,2A984,2D984,2E984,,
Condensers for use in nuclear reactors,2A290a,,,,
Condensers or heat exchangers,2B350d,,,,
Conductive polymers,1C001c,,,,
"Conductors, superconductive composite",1C005,,,,
Congo-Crimean haemorrhagic fever virus (a.k.a. Crimean-Congo haemorrhagic fever virus),1C351a5,,,,
"Connector backshells, electric",3A611y9,,,,
Conotoxin,1C351d6,,,,
Construction equipment “specially designed” for military use,0A617y1,,,,
Contactors,3A611y27,,,,
"Containers, for packing defense articles or “600 series” items",0A617y3,,,,
"Containers, chemical",2B350c,,,,
Containment devices (not enumerated under ECCN 1B608 or in USML Category IV or V) for the testing of high explosives or explosive devices,1B234,,,,
Containment facilities,2B352a,,,,
Continuous mixers,1B118,,,,
Contrarotating propellers,8A002o1b,,,,
Control units for metallurgical melting & casting furnaces,2B227,,,,
"Control systems, on-line development of gas turbine engines",9B002,9B619a,,,
Controllable-pitch propellers,8A002o2a,,,,
Controlled atmosphere melting & casting furnaces,2B227,,,,
Controlled environment (vacuum or inert gas) induction furnaces,2B226,,,,
Controlled nucleation thermal decomposition (CNTD) equipment,2B005a1b,,,,
"Controllers, machine tool (CNC)",1B001a,,,,
Controllers for high explosive handling robots,2B207,,,,
"Controllers, robot",2B007,,,,
Converter integrated circuits,3A001a5,,,,
"Converters, frequency",3A225,,,,
"Converters, frequency extender",3A001b7,,,,
"Cooling fluid (fluorocarbon electronic) development, production, or use technology",1E994,,,,
Cooling fluids - electronic,1C006d,,,,
"Cooling fluids, fluorocarbon electronic",1C006d,,,,
"Cooling systems, freon and chilled water",1B999d,,,,
Copper or phosphor bronze mesh packings,1A226,,,,
Copper metal vapor lasers,6A005b,,,,
Coprocessor microcircuits,3A001a3 Note,,,,
"Coprocessors or accelerators, graphics",4A003d,,,,
Correlation-velocity sonar log equipment,6A001b,,,,
Counter-current solvent extractors,0B006c,,,,
Counter Improvised Explosive Device equipment,5A001h,,,,
Coxiella burnetii,1C351c13,,,,
"Crime science laboratories, parts and accessories, nonmilitary mobile",9A980,,,,
Crimean-Congo haemorrhagic fever virus (a.k.a. Congo-Crimean haemorrhagic fever virus),1C351a5,,,,
"Critically safe tanks, nuclear fuel reprocessing",0B006b,,,,
Cross-flow filtration equipment,2B352d,,,,
Crossed-field amplifier tubes,3A001b1b,,,,
"Crucibles, liquid actinide resistant",2A225,,,,
"Crucibles, tantalum",2A225b,2A225c,,,
Crude petroleum or shale oil,1C981,,,,
"Cryocoolers for optical sensors, space qualified",6A002d1,,,,
"Cryocoolers for optical sensors, non-space qualified",6A002d2,,,,
"Cryogenic and superconductive equipment, parts, components, accessories",9A620,,,,
Cryogenic and superconductive test equipment,9B620,,,,
Cryogenic and superconductive software,9D620,,,,
Cryogenic and superconductive technology,9E620,,,,
"Cryptanalytic equipment or devices, digital",5A002a2,,,,
"Cryptoanalytic equipment and components, n.e.s.",5A992,,,,
“Cryptographic activation” equipment,5A002j,,,,
"Cryptographic enabling systems, equipment, integrated circuits, etc",5A002b,,,,
Cryptographic enabling software,5D002d,,,,
Cryptographic enabling technology,5E002b,,,,
"Cryptographic equipment and components, n.e.s.",5A992,,,,
"Cryptography equipment or devices, digital",5A002a1,,,,
"Cryptography equipment or devices, analog",5A002a3,,,,
"Cryptologic equipment, software for the development, production or use of",5D992,,,,
